IP Address,Hostname,MAC Address,Vendor,Last Login,Serial Number
192.168.102.63,Silvyeon,N/A,Unknown,N/A,N/A
192.168.102.222,N/A,66-58-e6-aa-47-16,Unknown,N/A,N/A
192.168.102.63,Silvyeon,N/A,Unknown,N/A,N/A
192.168.102.63,Silvyeon,N/A,Unknown,N/A,N/A
192.168.102.222,N/A,66-58-e6-aa-47-16,Unknown,N/A,N/A
192.168.102.63,Silvyeon,N/A,Unknown,N/A,N/A
192.168.102.222,N/A,66-58-e6-aa-47-16,Unknown,N/A,N/A
